Region_Geografica,Acceso_Servicios_Financieros,Tiempo_Pago_Horas,Uso_Tecnologia_Movil,Ingresos_Mensuales,Preferencia_Pago,Tenencia_Telefono_Celular,Edad,Nivel_Educativo,Frecuencia_Transacciones,Costo_Transporte_Pago,Numero_Cuentas_Bancarias,Satisfaccion_Servicios_Financieros,Sucursales_10KM
Zona Rural,Cuenta Bancaria,4.38,Medio,1044584,Presencial,No,42,Secundaria,38,7529.44,3,Neutral,3
Comuna 13,Billetera Movil,1.49,Bajo,546726,Digital,No,64,Primaria,13,13857.37,3,Muy Satisfecho,1
Comuna 13,Billetera Movil,2.69,Medio,1779012,Presencial,No,65,Universitario,35,11830.65,2,Insatisfecho,0
Comuna 5,Billetera Movil,0.77,Alto,1613026,Presencial,Sí,29,Secundaria,18,17610.16,1,Insatisfecho,1
Comuna 13,Billetera Movil,6.89,Medio,821611,Presencial,No,24,Técnico,32,4061.35,1,Neutral,0
Comuna 10,Billetera Movil,6.44,Alto,1587242,Digital,No,69,Secundaria,28,12219.19,2,Insatisfecho,3
Comuna 13,Sin Acceso,6.01,Medio,1347744,Digital,Sí,39,Técnico,15,2991.8,0,Insatisfecho,1
Comuna 8,Sin Acceso,0.98,Medio,1686559,Digital,No,49,Técnico,26,15434.25,0,Muy Satisfecho,3
Comuna 10,Billetera Movil,2.46,Medio,1669163,Presencial,No,63,Técnico,41,5446.08,1,Muy Satisfecho,1
Comuna 8,Sin Acceso,5.22,Alto,2277447,Presencial,Sí,20,Primaria,50,8972.07,1,Insatisfecho,0
Zona Rural,Cuenta Bancaria,7.69,Medio,858422,Digital,No,50,Primaria,11,2274.7,2,Muy Insatisfecho,0
Comuna 5,Cuenta Bancaria,5.52,Medio,1835607,Digital,No,55,Universitario,25,11370.75,2,Insatisfecho,0
Comuna 5,Sin Acceso,5.36,Bajo,1476820,Presencial,No,30,Técnico,19,11471.72,1,Muy Insatisfecho,2
Comuna 8,Cuenta Bancaria,7.65,Bajo,1198509,Presencial,Sí,64,Secundaria,15,16170.38,0,Insatisfecho,1
Comuna 10,Sin Acceso,1.38,Bajo,836324,Presencial,Sí,63,Universitario,38,10741.17,3,Insatisfecho,1
Comuna 10,Sin Acceso,6.94,Medio,646953,Presencial,Sí,37,Técnico,2,4231.67,2,Muy Insatisfecho,1
Zona Rural,Sin Acceso,7.72,Alto,656793,Digital,Sí,36,Universitario,21,9828.93,0,Muy Insatisfecho,0
Zona Rural,Sin Acceso,1.2,Alto,2997381,Presencial,Sí,49,Universitario,1,15702.59,1,Insatisfecho,0
Zona Rural,Cuenta Bancaria,3.7,Medio,2728173,Digital,Sí,32,Secundaria,26,13687.8,2,Muy Satisfecho,0
Zona Rural,Billetera Movil,7.55,Medio,1401476,Digital,No,56,Secundaria,10,6567.19,0,Neutral,3
Comuna 5,Cuenta Bancaria,6.94,Medio,2891432,Presencial,No,26,Universitario,5,8939.73,3,Muy Satisfecho,1
Comuna 5,Sin Acceso,1.69,Medio,2989276,Presencial,No,50,Primaria,30,2479.69,1,Muy Satisfecho,3
Comuna 10,Cuenta Bancaria,6.42,Alto,1041973,Digital,No,29,Universitario,49,5811.96,3,Neutral,0
Zona Rural,Sin Acceso,7.38,Medio,1022660,Digital,Sí,48,Primaria,39,19706.22,2,Insatisfecho,1
Zona Rural,Cuenta Bancaria,6.37,Alto,2601490,Digital,Sí,49,Universitario,40,12321.08,2,Muy Insatisfecho,0
Comuna 10,Billetera Movil,6.0,Medio,1879480,Presencial,No,33,Universitario,46,13033.62,1,Muy Satisfecho,0
Comuna 8,Sin Acceso,0.72,Medio,2653324,Digital,Sí,70,Primaria,30,9747.0,2,Satisfecho,3
Comuna 5,Sin Acceso,5.24,Medio,879211,Digital,Sí,54,Secundaria,31,11200.49,0,Neutral,0
Comuna 8,Cuenta Bancaria,7.08,Bajo,2675908,Presencial,No,59,Secundaria,44,1805.09,1,Muy Satisfecho,0
Zona Rural,Sin Acceso,6.31,Alto,980119,Digital,Sí,28,Primaria,49,1924.73,0,Neutral,0
Comuna 13,Sin Acceso,3.76,Alto,2616506,Digital,No,64,Técnico,21,17450.08,0,Muy Satisfecho,0
Comuna 13,Cuenta Bancaria,1.51,Alto,764062,Digital,No,48,Técnico,36,3988.49,3,Satisfecho,3
Comuna 10,Cuenta Bancaria,1.04,Alto,2132089,Presencial,Sí,40,Técnico,8,18848.38,3,Insatisfecho,1
Comuna 5,Cuenta Bancaria,7.43,Alto,1569557,Digital,No,69,Secundaria,2,9005.13,3,Satisfecho,0
Zona Rural,Billetera Movil,1.29,Medio,1133111,Presencial,Sí,26,Técnico,32,16930.42,3,Insatisfecho,0
Comuna 5,Billetera Movil,1.66,Medio,2271646,Digital,Sí,57,Secundaria,49,10629.52,0,Insatisfecho,0
Zona Rural,Billetera Movil,7.67,Medio,2017877,Digital,Sí,55,Técnico,48,5524.63,1,Insatisfecho,1
Comuna 10,Billetera Movil,5.85,Alto,1902785,Presencial,Sí,43,Universitario,37,16482.56,2,Satisfecho,0
Zona Rural,Cuenta Bancaria,4.7,Bajo,2360201,Digital,Sí,35,Primaria,43,12532.01,1,Neutral,0
Comuna 10,Sin Acceso,5.96,Medio,1080832,Presencial,No,32,Secundaria,21,15817.11,2,Satisfecho,0
Comuna 13,Cuenta Bancaria,2.17,Medio,2688473,Presencial,No,68,Secundaria,29,12150.55,1,Satisfecho,0
Comuna 5,Billetera Movil,6.72,Medio,2307483,Presencial,Sí,25,Primaria,9,3492.63,2,Satisfecho,0
Zona Rural,Cuenta Bancaria,2.02,Medio,2452929,Presencial,Sí,63,Primaria,20,2506.87,1,Neutral,0
Comuna 10,Cuenta Bancaria,4.41,Medio,2718684,Digital,No,50,Primaria,9,9111.95,2,Neutral,2
Comuna 5,Billetera Movil,6.34,Bajo,1304398,Digital,Sí,67,Universitario,14,16329.92,0,Insatisfecho,1
Comuna 5,Sin Acceso,6.14,Bajo,1250787,Presencial,No,19,Universitario,4,2269.59,1,Muy Insatisfecho,3
Comuna 5,Cuenta Bancaria,1.23,Bajo,2611501,Digital,Sí,43,Universitario,22,16874.81,2,Neutral,0
Comuna 5,Cuenta Bancaria,2.33,Alto,2269872,Presencial,No,52,Técnico,17,10874.51,3,Muy Satisfecho,0
Comuna 8,Billetera Movil,4.46,Medio,1048929,Presencial,No,62,Técnico,24,4297.61,3,Satisfecho,2
Comuna 5,Billetera Movil,2.22,Alto,785198,Presencial,No,33,Primaria,8,13087.6,1,Insatisfecho,0
Comuna 5,Billetera Movil,4.59,Medio,1627383,Digital,Sí,60,Universitario,7,8405.8,2,Neutral,1
Comuna 10,Cuenta Bancaria,5.94,Medio,820969,Digital,Sí,59,Secundaria,17,16906.68,2,Insatisfecho,1
Comuna 10,Cuenta Bancaria,1.92,Bajo,1247677,Digital,No,32,Universitario,47,4173.16,0,Muy Insatisfecho,0
Zona Rural,Billetera Movil,3.59,Medio,2358903,Presencial,Sí,67,Primaria,25,5285.13,2,Muy Satisfecho,2
Comuna 8,Billetera Movil,1.07,Medio,1741920,Presencial,No,31,Técnico,25,9200.99,3,Satisfecho,3
Comuna 8,Sin Acceso,2.43,Bajo,2565082,Digital,Sí,62,Técnico,12,11221.13,0,Insatisfecho,1
Comuna 10,Cuenta Bancaria,6.57,Alto,1617737,Digital,No,41,Secundaria,31,9882.31,1,Neutral,1
Comuna 13,Sin Acceso,1.74,Alto,2657569,Digital,Sí,66,Técnico,27,1975.65,2,Muy Insatisfecho,0
Comuna 8,Cuenta Bancaria,4.28,Medio,1745979,Presencial,Sí,29,Técnico,24,11369.1,1,Muy Satisfecho,0
Comuna 8,Sin Acceso,7.04,Bajo,2083644,Digital,No,26,Primaria,34,19874.13,3,Insatisfecho,1
Comuna 8,Sin Acceso,4.33,Bajo,1385760,Digital,Sí,27,Universitario,46,11668.7,2,Satisfecho,0
Comuna 5,Sin Acceso,2.73,Medio,724135,Presencial,Sí,47,Secundaria,39,18697.07,2,Neutral,0
Comuna 8,Billetera Movil,1.46,Bajo,2544272,Digital,No,27,Primaria,5,19335.33,2,Muy Insatisfecho,0
Comuna 8,Cuenta Bancaria,6.52,Bajo,2647704,Digital,No,27,Secundaria,20,5141.14,1,Muy Satisfecho,0
Comuna 13,Sin Acceso,4.98,Alto,2547333,Digital,Sí,43,Primaria,2,14766.22,3,Neutral,0
Comuna 8,Cuenta Bancaria,5.6,Bajo,1651038,Digital,Sí,48,Técnico,23,6168.73,3,Muy Satisfecho,0
Zona Rural,Cuenta Bancaria,2.08,Medio,1660954,Digital,Sí,62,Primaria,36,9902.48,0,Insatisfecho,0
Comuna 5,Cuenta Bancaria,6.49,Medio,1428316,Digital,Sí,34,Universitario,15,1289.58,3,Satisfecho,2
Comuna 5,Cuenta Bancaria,6.03,Alto,720957,Digital,Sí,38,Técnico,45,11816.66,0,Neutral,2
Comuna 10,Billetera Movil,2.76,Bajo,702134,Presencial,No,19,Universitario,44,7181.57,2,Muy Insatisfecho,0
Comuna 5,Billetera Movil,6.95,Medio,890643,Digital,Sí,39,Secundaria,29,9392.22,1,Muy Insatisfecho,1
Comuna 13,Cuenta Bancaria,5.34,Bajo,1069428,Presencial,Sí,54,Secundaria,21,4460.38,3,Muy Satisfecho,0
Comuna 5,Cuenta Bancaria,3.88,Bajo,2232678,Presencial,No,39,Primaria,25,8044.93,0,Neutral,1
Comuna 5,Cuenta Bancaria,2.84,Medio,710950,Digital,Sí,22,Técnico,1,19670.12,1,Neutral,2
Zona Rural,Sin Acceso,3.97,Bajo,555760,Presencial,Sí,41,Secundaria,24,4023.37,0,Muy Insatisfecho,0
Comuna 13,Cuenta Bancaria,0.93,Alto,1593388,Digital,No,60,Universitario,14,16025.58,0,Muy Insatisfecho,1
Comuna 5,Cuenta Bancaria,3.88,Medio,842714,Presencial,No,62,Secundaria,19,6283.58,2,Satisfecho,3
Comuna 8,Billetera Movil,0.64,Medio,2276128,Digital,No,20,Universitario,20,14694.72,3,Neutral,1
Comuna 10,Billetera Movil,6.9,Bajo,2733095,Presencial,Sí,38,Secundaria,23,2527.12,2,Muy Insatisfecho,1
Zona Rural,Billetera Movil,6.61,Medio,1139749,Presencial,Sí,29,Universitario,9,1822.76,0,Muy Satisfecho,0
Comuna 10,Cuenta Bancaria,3.56,Medio,876879,Presencial,Sí,46,Secundaria,44,17009.38,1,Insatisfecho,0
Comuna 10,Cuenta Bancaria,6.17,Medio,2402289,Digital,No,64,Secundaria,41,16621.32,2,Satisfecho,3
Comuna 5,Sin Acceso,7.64,Alto,2465274,Presencial,Sí,18,Primaria,41,7426.04,1,Muy Satisfecho,1
Zona Rural,Sin Acceso,2.52,Alto,2441138,Digital,Sí,22,Secundaria,43,6777.99,0,Muy Insatisfecho,1
Zona Rural,Billetera Movil,7.87,Bajo,1582773,Presencial,Sí,21,Primaria,1,11153.99,3,Muy Satisfecho,1
Zona Rural,Sin Acceso,1.04,Bajo,536159,Digital,Sí,67,Secundaria,18,3758.33,3,Muy Satisfecho,1
Zona Rural,Billetera Movil,7.76,Medio,2423242,Presencial,No,24,Primaria,36,14721.01,1,Neutral,0
Zona Rural,Sin Acceso,2.45,Alto,884835,Digital,No,25,Primaria,37,9631.08,0,Muy Insatisfecho,0
Comuna 13,Billetera Movil,7.37,Medio,1083370,Digital,No,59,Primaria,41,6303.54,1,Muy Insatisfecho,2
Comuna 10,Sin Acceso,7.1,Medio,2505951,Digital,No,39,Universitario,40,13271.11,0,Satisfecho,0
Comuna 10,Billetera Movil,7.72,Medio,864659,Digital,Sí,65,Técnico,45,13780.77,2,Insatisfecho,3
Comuna 13,Sin Acceso,3.81,Bajo,1686933,Presencial,No,66,Técnico,18,18473.1,0,Muy Insatisfecho,3
Zona Rural,Sin Acceso,1.09,Bajo,1077010,Digital,Sí,66,Primaria,45,6115.12,0,Satisfecho,3
Comuna 13,Cuenta Bancaria,3.97,Medio,1435816,Presencial,No,55,Secundaria,24,1989.54,1,Neutral,0
Comuna 10,Sin Acceso,7.23,Medio,662745,Presencial,No,26,Secundaria,3,9623.42,1,Insatisfecho,0
Comuna 5,Billetera Movil,1.63,Bajo,1647669,Digital,No,22,Secundaria,49,7746.76,3,Muy Satisfecho,0
Comuna 8,Billetera Movil,3.21,Alto,1510154,Digital,No,43,Secundaria,47,14776.16,3,Satisfecho,2
Comuna 10,Billetera Movil,2.09,Alto,1086482,Digital,Sí,25,Universitario,42,15504.06,3,Muy Satisfecho,0
Comuna 5,Sin Acceso,3.57,Alto,2410226,Digital,Sí,26,Secundaria,30,9139.33,0,Neutral,0
Comuna 10,Sin Acceso,5.09,Alto,2949082,Digital,No,35,Técnico,48,5684.2,2,Muy Insatisfecho,1
Comuna 5,Cuenta Bancaria,5.01,Medio,678364,Presencial,No,65,Secundaria,12,14128.56,0,Neutral,3
Comuna 13,Billetera Movil,1.72,Alto,574531,Digital,No,18,Universitario,36,5441.55,3,Neutral,0
Zona Rural,Billetera Movil,2.8,Bajo,2415829,Digital,No,59,Universitario,24,1723.9,3,Muy Satisfecho,0
Comuna 10,Billetera Movil,4.61,Medio,1095588,Digital,No,47,Secundaria,28,17283.95,1,Insatisfecho,1
Comuna 13,Cuenta Bancaria,4.98,Alto,951441,Presencial,Sí,38,Técnico,39,15962.8,1,Neutral,0
Comuna 10,Billetera Movil,7.62,Bajo,1433737,Presencial,No,20,Universitario,39,10050.08,3,Muy Satisfecho,1
Comuna 10,Cuenta Bancaria,2.86,Alto,1602516,Digital,Sí,41,Secundaria,2,15420.75,0,Muy Insatisfecho,3
Comuna 10,Sin Acceso,5.15,Bajo,524326,Digital,Sí,40,Secundaria,36,9797.69,3,Satisfecho,2
Zona Rural,Cuenta Bancaria,7.77,Alto,1551083,Presencial,No,42,Primaria,49,11022.92,1,Muy Satisfecho,0
Zona Rural,Cuenta Bancaria,6.48,Bajo,2968815,Presencial,Sí,48,Universitario,11,5341.8,2,Neutral,0
Comuna 5,Sin Acceso,1.11,Bajo,1471591,Digital,Sí,18,Primaria,35,5040.12,3,Satisfecho,2
Zona Rural,Cuenta Bancaria,2.05,Bajo,2110863,Digital,No,43,Universitario,12,1519.84,3,Insatisfecho,0
Comuna 13,Billetera Movil,4.04,Alto,968071,Presencial,Sí,52,Secundaria,1,10520.94,1,Muy Satisfecho,0
Comuna 13,Billetera Movil,6.22,Bajo,1559622,Digital,Sí,60,Secundaria,25,1999.56,3,Muy Insatisfecho,2
Zona Rural,Billetera Movil,5.64,Medio,1096039,Digital,No,48,Primaria,14,6636.28,1,Neutral,1
Comuna 5,Cuenta Bancaria,3.92,Alto,1345679,Digital,No,66,Técnico,17,10895.0,1,Muy Satisfecho,0
Comuna 8,Sin Acceso,3.15,Alto,697366,Presencial,Sí,34,Primaria,41,19588.95,1,Neutral,1
Zona Rural,Billetera Movil,7.05,Medio,2564094,Presencial,Sí,49,Primaria,12,10233.38,3,Satisfecho,0
Comuna 8,Billetera Movil,1.72,Bajo,854009,Digital,No,59,Secundaria,37,17390.52,2,Muy Insatisfecho,0
Comuna 13,Sin Acceso,6.32,Alto,1459423,Digital,Sí,68,Primaria,5,13693.26,3,Muy Insatisfecho,2
Comuna 8,Billetera Movil,7.88,Alto,1601400,Presencial,No,26,Técnico,49,14330.5,1,Muy Satisfecho,0
Comuna 13,Billetera Movil,6.03,Medio,2134619,Presencial,Sí,24,Técnico,24,13883.87,1,Neutral,0
Comuna 5,Sin Acceso,1.97,Alto,2874590,Digital,No,50,Primaria,14,3487.96,0,Neutral,0
Comuna 5,Sin Acceso,2.05,Medio,1479657,Presencial,Sí,36,Universitario,3,3857.16,3,Neutral,0
Comuna 10,Billetera Movil,0.65,Alto,2106707,Presencial,No,44,Primaria,26,5868.77,3,Muy Satisfecho,0
Comuna 10,Billetera Movil,2.04,Bajo,1385687,Digital,No,43,Universitario,34,2933.27,3,Neutral,2
Comuna 10,Sin Acceso,3.28,Medio,2370616,Presencial,No,58,Secundaria,43,10016.65,2,Insatisfecho,2
Comuna 13,Cuenta Bancaria,6.5,Bajo,1976713,Presencial,Sí,29,Técnico,29,12889.33,2,Muy Insatisfecho,1
Comuna 13,Billetera Movil,7.09,Alto,2523562,Presencial,No,68,Técnico,28,12329.15,1,Neutral,1
Comuna 13,Billetera Movil,7.4,Alto,2986599,Presencial,Sí,39,Técnico,44,17163.23,3,Neutral,0
Comuna 5,Billetera Movil,3.61,Bajo,937151,Presencial,Sí,60,Secundaria,49,5606.87,3,Insatisfecho,0
Comuna 13,Cuenta Bancaria,2.95,Medio,682744,Presencial,No,19,Primaria,47,12874.92,1,Satisfecho,1
Comuna 10,Cuenta Bancaria,5.01,Alto,2326515,Digital,Sí,43,Universitario,2,10615.14,0,Muy Insatisfecho,1
Comuna 5,Cuenta Bancaria,1.92,Medio,2841924,Presencial,No,47,Primaria,31,19736.73,3,Muy Satisfecho,3
Comuna 8,Sin Acceso,7.95,Alto,1923278,Presencial,No,41,Técnico,47,10626.18,2,Neutral,0
Comuna 13,Sin Acceso,3.15,Alto,802867,Digital,Sí,51,Primaria,9,13044.16,3,Muy Insatisfecho,1
Comuna 13,Sin Acceso,7.38,Medio,1555112,Digital,Sí,29,Universitario,25,17445.66,3,Satisfecho,0
Comuna 13,Sin Acceso,0.81,Bajo,709362,Presencial,No,30,Universitario,35,14865.21,2,Satisfecho,2
Comuna 13,Cuenta Bancaria,1.8,Bajo,1054269,Digital,Sí,36,Técnico,48,16490.1,1,Satisfecho,1
Comuna 13,Billetera Movil,7.05,Bajo,666598,Digital,No,52,Primaria,21,11346.43,0,Satisfecho,0
Zona Rural,Sin Acceso,2.22,Bajo,2911714,Digital,Sí,58,Universitario,45,5656.88,0,Muy Satisfecho,0
Comuna 8,Billetera Movil,1.22,Bajo,1501878,Presencial,Sí,65,Primaria,40,7359.09,1,Muy Satisfecho,1
Comuna 13,Billetera Movil,5.01,Medio,1192772,Presencial,No,68,Secundaria,6,4887.91,0,Muy Satisfecho,3
Comuna 13,Billetera Movil,2.52,Medio,564406,Presencial,No,28,Técnico,47,16548.71,1,Muy Insatisfecho,0
Zona Rural,Cuenta Bancaria,4.7,Medio,2839474,Presencial,No,29,Secundaria,39,6397.55,2,Insatisfecho,1
Comuna 10,Sin Acceso,0.66,Alto,1263348,Digital,No,38,Primaria,39,18405.31,0,Satisfecho,1
Zona Rural,Cuenta Bancaria,2.42,Medio,2809960,Digital,Sí,27,Universitario,4,3308.53,2,Muy Insatisfecho,1
Zona Rural,Cuenta Bancaria,2.69,Medio,1851333,Digital,No,69,Primaria,13,17564.35,0,Muy Satisfecho,1
Comuna 8,Sin Acceso,0.95,Medio,1540058,Presencial,Sí,70,Secundaria,35,13337.98,1,Muy Insatisfecho,3
Comuna 5,Cuenta Bancaria,4.11,Alto,2757175,Presencial,No,50,Técnico,47,3953.73,2,Muy Satisfecho,2
Zona Rural,Cuenta Bancaria,1.37,Bajo,2385667,Presencial,No,42,Técnico,5,14170.81,0,Muy Insatisfecho,0
Comuna 13,Billetera Movil,2.93,Medio,709387,Digital,Sí,45,Universitario,24,11857.6,0,Satisfecho,2
Comuna 10,Billetera Movil,7.43,Bajo,644423,Presencial,No,38,Primaria,34,10315.2,3,Insatisfecho,0
Comuna 10,Billetera Movil,6.13,Medio,2399661,Presencial,Sí,22,Primaria,21,12089.78,2,Insatisfecho,2
Comuna 13,Sin Acceso,5.7,Bajo,1316495,Digital,No,34,Universitario,1,8809.25,2,Satisfecho,0
Comuna 10,Billetera Movil,5.33,Medio,2388711,Presencial,No,41,Secundaria,10,14401.78,0,Satisfecho,3
Comuna 10,Sin Acceso,1.58,Alto,2248672,Presencial,No,39,Técnico,50,15048.06,2,Satisfecho,0
Comuna 8,Sin Acceso,4.26,Alto,2877887,Digital,Sí,48,Técnico,15,10371.03,0,Insatisfecho,3
Comuna 8,Billetera Movil,6.11,Bajo,925511,Presencial,No,23,Universitario,36,15756.81,2,Neutral,0
Zona Rural,Billetera Movil,0.71,Bajo,2836646,Presencial,No,45,Secundaria,14,4705.75,3,Neutral,0
Comuna 5,Billetera Movil,0.55,Medio,1255910,Presencial,No,60,Secundaria,35,5183.65,0,Muy Insatisfecho,1
Comuna 10,Sin Acceso,0.74,Alto,1316401,Presencial,Sí,20,Secundaria,33,4926.7,3,Insatisfecho,1
Comuna 8,Sin Acceso,1.92,Bajo,1121134,Digital,Sí,51,Universitario,47,4459.99,3,Muy Insatisfecho,2
Comuna 8,Sin Acceso,5.19,Alto,736786,Digital,Sí,70,Técnico,49,12255.35,0,Muy Satisfecho,0
Comuna 8,Cuenta Bancaria,0.63,Alto,2033869,Digital,No,43,Secundaria,39,11624.72,3,Neutral,1
Comuna 8,Billetera Movil,0.86,Alto,1817847,Digital,Sí,30,Primaria,26,18915.79,3,Satisfecho,0
Comuna 10,Sin Acceso,4.59,Alto,2810951,Digital,No,65,Secundaria,32,7269.54,2,Satisfecho,2
Comuna 10,Billetera Movil,1.82,Medio,1385165,Presencial,No,21,Universitario,14,17641.11,0,Muy Satisfecho,0
Comuna 10,Billetera Movil,3.55,Medio,2784670,Presencial,Sí,36,Secundaria,41,13119.89,1,Satisfecho,3
Comuna 13,Billetera Movil,5.52,Bajo,782721,Digital,Sí,26,Secundaria,6,18749.34,3,Muy Satisfecho,0
Comuna 5,Cuenta Bancaria,4.51,Bajo,2863810,Presencial,No,34,Primaria,44,19364.0,3,Insatisfecho,0
Zona Rural,Billetera Movil,3.75,Medio,2784715,Presencial,No,37,Primaria,9,7789.33,1,Satisfecho,2
Comuna 8,Billetera Movil,5.84,Medio,724640,Presencial,No,29,Universitario,27,1356.29,0,Insatisfecho,0
Zona Rural,Sin Acceso,3.21,Medio,1486735,Digital,Sí,41,Secundaria,10,5497.62,1,Muy Insatisfecho,1
Comuna 10,Cuenta Bancaria,4.73,Bajo,2353854,Presencial,No,68,Primaria,14,2976.09,3,Satisfecho,1
Comuna 5,Cuenta Bancaria,6.34,Bajo,1497000,Presencial,No,32,Técnico,26,13743.84,1,Muy Insatisfecho,0
Comuna 5,Cuenta Bancaria,6.57,Alto,732607,Digital,Sí,63,Técnico,3,8272.84,0,Satisfecho,0
Comuna 8,Sin Acceso,4.57,Medio,705079,Digital,No,51,Secundaria,2,6277.23,3,Neutral,0
Comuna 13,Cuenta Bancaria,7.67,Bajo,2782594,Presencial,No,31,Secundaria,34,10544.61,1,Neutral,0
Zona Rural,Sin Acceso,3.22,Bajo,1025779,Presencial,Sí,34,Primaria,22,3267.35,1,Muy Insatisfecho,3
Comuna 8,Sin Acceso,2.11,Medio,2102198,Presencial,Sí,42,Secundaria,18,1174.58,1,Muy Insatisfecho,0
Comuna 5,Cuenta Bancaria,1.9,Medio,1365315,Digital,Sí,62,Primaria,43,10591.59,3,Muy Satisfecho,1
Comuna 13,Cuenta Bancaria,1.94,Medio,2776481,Presencial,Sí,27,Secundaria,33,7799.51,3,Neutral,1
Comuna 5,Billetera Movil,3.0,Medio,1339212,Digital,Sí,49,Técnico,10,18239.67,1,Neutral,2
Comuna 13,Sin Acceso,1.41,Bajo,922809,Presencial,Sí,42,Secundaria,50,10383.31,2,Insatisfecho,3
Comuna 13,Sin Acceso,6.48,Medio,2401049,Digital,No,25,Universitario,28,10914.72,2,Muy Insatisfecho,0
Comuna 10,Sin Acceso,5.78,Medio,1954274,Digital,Sí,18,Secundaria,46,12708.83,0,Muy Insatisfecho,0
Comuna 10,Cuenta Bancaria,0.63,Bajo,2286046,Digital,No,36,Universitario,25,8040.61,1,Satisfecho,1
Zona Rural,Cuenta Bancaria,2.09,Medio,584833,Digital,No,67,Universitario,15,19394.67,0,Satisfecho,1
Zona Rural,Billetera Movil,4.67,Alto,1424481,Presencial,No,44,Primaria,15,14257.47,2,Muy Satisfecho,1
Comuna 10,Sin Acceso,1.39,Medio,640960,Digital,No,21,Técnico,27,10637.94,2,Satisfecho,2
Zona Rural,Sin Acceso,2.55,Alto,2665080,Presencial,Sí,35,Universitario,14,16728.06,2,Muy Insatisfecho,1
Comuna 10,Billetera Movil,3.47,Bajo,2126229,Presencial,Sí,52,Secundaria,4,16180.87,3,Muy Satisfecho,2
Comuna 8,Billetera Movil,4.85,Medio,2126015,Digital,Sí,62,Primaria,45,7507.2,1,Satisfecho,0
Comuna 5,Cuenta Bancaria,4.1,Bajo,1087518,Presencial,Sí,30,Técnico,31,18142.42,2,Satisfecho,1
Comuna 8,Cuenta Bancaria,3.89,Medio,1384476,Presencial,Sí,56,Técnico,38,6966.32,1,Muy Satisfecho,0
Comuna 10,Sin Acceso,6.45,Alto,956451,Digital,Sí,65,Técnico,34,7888.66,2,Muy Insatisfecho,0
Comuna 5,Sin Acceso,5.31,Bajo,1055354,Presencial,Sí,47,Secundaria,24,2686.6,3,Muy Satisfecho,1
Zona Rural,Billetera Movil,4.05,Alto,1989451,Digital,No,69,Primaria,18,18232.55,2,Muy Satisfecho,0
Zona Rural,Sin Acceso,0.53,Medio,936765,Presencial,No,42,Primaria,7,19946.97,1,Muy Insatisfecho,0
Zona Rural,Sin Acceso,4.93,Alto,2895779,Presencial,No,45,Universitario,3,14859.79,1,Muy Insatisfecho,0
Zona Rural,Cuenta Bancaria,1.51,Bajo,1355633,Digital,Sí,65,Técnico,48,14012.47,2,Muy Satisfecho,1
Comuna 13,Cuenta Bancaria,2.07,Alto,818631,Digital,Sí,41,Técnico,11,11034.2,2,Insatisfecho,0
Comuna 10,Billetera Movil,2.88,Medio,811533,Presencial,No,29,Técnico,13,15441.99,3,Satisfecho,0
Comuna 13,Cuenta Bancaria,3.76,Alto,2998581,Presencial,Sí,57,Primaria,23,9412.61,2,Insatisfecho,0
Comuna 13,Cuenta Bancaria,5.84,Bajo,2457433,Presencial,No,33,Secundaria,44,2831.86,0,Muy Insatisfecho,0
Comuna 13,Sin Acceso,6.26,Medio,1210330,Presencial,No,57,Universitario,23,11534.12,3,Satisfecho,2
Comuna 5,Cuenta Bancaria,5.4,Bajo,621467,Digital,Sí,18,Primaria,13,3177.95,2,Neutral,2
Comuna 5,Cuenta Bancaria,3.13,Alto,1026141,Digital,Sí,32,Universitario,31,15849.47,0,Insatisfecho,3
Comuna 8,Billetera Movil,1.85,Alto,2510741,Presencial,Sí,51,Técnico,6,19210.81,1,Insatisfecho,0
Comuna 13,Cuenta Bancaria,1.25,Medio,1013450,Presencial,Sí,26,Secundaria,25,10508.09,2,Insatisfecho,0
Zona Rural,Billetera Movil,1.92,Alto,2397092,Presencial,No,40,Secundaria,34,8848.51,2,Neutral,0
Zona Rural,Billetera Movil,2.05,Alto,2098479,Digital,No,50,Universitario,47,8329.62,0,Insatisfecho,1
Zona Rural,Sin Acceso,1.74,Alto,1575456,Digital,Sí,26,Técnico,9,1363.42,3,Muy Insatisfecho,0
Comuna 5,Sin Acceso,5.88,Alto,2418298,Digital,Sí,35,Universitario,12,8219.09,2,Insatisfecho,1
Comuna 13,Cuenta Bancaria,4.09,Alto,1347055,Digital,Sí,67,Secundaria,22,4717.82,0,Muy Insatisfecho,0
Comuna 5,Billetera Movil,7.89,Alto,1544767,Presencial,Sí,64,Universitario,36,11583.1,1,Insatisfecho,0
Comuna 13,Billetera Movil,3.38,Medio,545820,Digital,No,32,Universitario,25,7463.8,2,Neutral,0
Comuna 5,Sin Acceso,3.38,Bajo,2949931,Digital,Sí,67,Primaria,21,5154.64,1,Muy Satisfecho,1
Comuna 13,Billetera Movil,7.83,Bajo,1874205,Digital,Sí,36,Técnico,10,6154.86,2,Muy Insatisfecho,0
Comuna 10,Billetera Movil,3.43,Medio,2919992,Digital,Sí,53,Universitario,32,7424.77,0,Insatisfecho,3
Comuna 8,Billetera Movil,7.06,Bajo,2139434,Presencial,No,60,Primaria,28,3817.11,3,Muy Satisfecho,0
